method,video_id,genre,length_bucket,caption_type,threshold,compression,sbert_cosine,rouge1_r,rougeL_r,segs_kept,segs_total,pct_segments_removed,pct_words_removed
heuristic,2IdtqGM6KWU,lectures,long,unknown,0.9,0.9725,0.9977,,,25,27,7.4074074074074066,2.749999999999997
heuristic,2IdtqGM6KWU,lectures,long,unknown,0.95,0.9859,0.9993,,,26,27,3.703703703703709,1.4100000000000001
model,2JlXB_HDuR0,commentary,medium,unknown,0.5,0.7622,0.9585,0.7595,0.7595,32,54,40.74074074074075,23.78
model,2JlXB_HDuR0,commentary,medium,unknown,0.6,0.8191,0.9619,0.8165,0.8165,36,54,33.333333333333336,18.089999999999996
model,2JlXB_HDuR0,commentary,medium,unknown,0.7,0.9195,0.9793,0.9162,0.9162,42,54,22.22222222222222,8.05
model,2JlXB_HDuR0,commentary,medium,unknown,0.8,0.9265,0.9825,0.9233,0.9233,43,54,20.370370370370374,7.350000000000001
model,2JlXB_HDuR0,commentary,medium,unknown,0.9,0.9755,0.9941,0.9752,0.9752,49,54,9.259259259259256,2.4499999999999966
model,2JlXB_HDuR0,commentary,medium,unknown,0.95,1.0,1.0,1.0,1.0,54,54,0.0,0.0
tfidf,2JlXB_HDuR0,commentary,medium,unknown,0.5,0.777,0.9521,,,32,54,40.74074074074075,22.299999999999997
tfidf,2JlXB_HDuR0,commentary,medium,unknown,0.6,0.8775,0.9719,,,39,54,27.77777777777778,12.250000000000005
tfidf,2JlXB_HDuR0,commentary,medium,unknown,0.7,0.9334,0.9799,,,43,54,20.370370370370374,6.659999999999999
tfidf,2JlXB_HDuR0,commentary,medium,unknown,0.8,0.9549,0.9857,,,46,54,14.814814814814813,4.510000000000003
tfidf,2JlXB_HDuR0,commentary,medium,unknown,0.9,0.9915,0.9955,,,51,54,5.555555555555558,0.8499999999999952
tfidf,2JlXB_HDuR0,commentary,medium,unknown,0.95,0.9964,0.9992,,,53,54,1.851851851851849,0.36000000000000476
sbert,2JlXB_HDuR0,commentary,medium,unknown,0.5,0.3346,0.9189,,,14,54,74.07407407407408,66.53999999999999
sbert,2JlXB_HDuR0,commentary,medium,unknown,0.6,0.6605,0.9684,,,33,54,38.888888888888886,33.95
sbert,2JlXB_HDuR0,commentary,medium,unknown,0.7,0.8572,0.9868,,,46,54,14.814814814814813,14.280000000000005
sbert,2JlXB_HDuR0,commentary,medium,unknown,0.8,0.9537,0.998,,,52,54,3.703703703703709,4.630000000000001
sbert,2JlXB_HDuR0,commentary,medium,unknown,0.9,1.0,1.0,,,54,54,0.0,0.0
sbert,2JlXB_HDuR0,commentary,medium,unknown,0.95,1.0,1.0,,,54,54,0.0,0.0
heuristic,2JlXB_HDuR0,commentary,medium,unknown,0.5,0.623,0.9693,,,32,54,40.74074074074075,37.7
heuristic,2JlXB_HDuR0,commentary,medium,unknown,0.6,0.7728,0.9838,,,39,54,27.77777777777778,22.719999999999995
heuristic,2JlXB_HDuR0,commentary,medium,unknown,0.7,0.8962,0.9923,,,46,54,14.814814814814813,10.38
heuristic,2JlXB_HDuR0,commentary,medium,unknown,0.8,0.957,0.9959,,,50,54,7.4074074074074066,4.300000000000004
heuristic,2JlXB_HDuR0,commentary,medium,unknown,0.9,0.9973,0.9991,,,53,54,1.851851851851849,0.27000000000000357
heuristic,2JlXB_HDuR0,commentary,medium,unknown,0.95,0.9973,0.9991,,,53,54,1.851851851851849,0.27000000000000357
model,2LGij4Nkv4A,tv_series,long,unknown,0.5,0.8701,0.9937,0.8706,0.8706,159,215,26.046511627906977,12.990000000000002
model,2LGij4Nkv4A,tv_series,long,unknown,0.6,0.9219,0.9962,0.9219,0.9219,177,215,17.674418604651166,7.809999999999995
model,2LGij4Nkv4A,tv_series,long,unknown,0.7,0.9425,0.9973,0.9421,0.9421,185,215,13.953488372093027,5.75
model,2LGij4Nkv4A,tv_series,long,unknown,0.8,0.9654,0.9984,0.965,0.965,196,215,8.837209302325578,3.4599999999999964
model,2LGij4Nkv4A,tv_series,long,unknown,0.9,0.9926,0.9998,0.9927,0.9927,210,215,2.3255813953488413,0.7399999999999962
model,2LGij4Nkv4A,tv_series,long,unknown,0.95,0.9967,0.9999,0.9968,0.9968,213,215,0.9302325581395321,0.32999999999999696
tfidf,2LGij4Nkv4A,tv_series,long,unknown,0.5,0.5811,0.9813,,,79,215,63.25581395348837,41.89000000000001
tfidf,2LGij4Nkv4A,tv_series,long,unknown,0.6,0.7487,0.992,,,119,215,44.651162790697676,25.129999999999995
tfidf,2LGij4Nkv4A,tv_series,long,unknown,0.7,0.8967,0.9969,,,164,215,23.720930232558135,10.329999999999995
tfidf,2LGij4Nkv4A,tv_series,long,unknown,0.8,0.9774,0.9994,,,199,215,7.441860465116279,2.2599999999999953
tfidf,2LGij4Nkv4A,tv_series,long,unknown,0.9,0.9944,0.9998,,,210,215,2.3255813953488413,0.5600000000000049
tfidf,2LGij4Nkv4A,tv_series,long,unknown,0.95,0.9994,1.0,,,214,215,0.46511627906976605,0.060000000000004494
sbert,2LGij4Nkv4A,tv_series,long,unknown,0.5,0.8053,0.9896,,,150,215,30.23255813953488,19.47
sbert,2LGij4Nkv4A,tv_series,long,unknown,0.6,0.9222,0.9973,,,186,215,13.48837209302326,7.779999999999998
sbert,2LGij4Nkv4A,tv_series,long,unknown,0.7,0.9839,0.9998,,,209,215,2.7906976744186074,1.6100000000000003
sbert,2LGij4Nkv4A,tv_series,long,unknown,0.8,0.998,1.0,,,214,215,0.46511627906976605,0.20000000000000018
sbert,2LGij4Nkv4A,tv_series,long,unknown,0.9,1.0,1.0,,,215,215,0.0,0.0
sbert,2LGij4Nkv4A,tv_series,long,unknown,0.95,1.0,1.0,,,215,215,0.0,0.0
heuristic,2LGij4Nkv4A,tv_series,long,unknown,0.5,0.6289,0.9959,,,126,215,41.3953488372093,37.11
heuristic,2LGij4Nkv4A,tv_series,long,unknown,0.6,0.7471,0.9969,,,149,215,30.69767441860465,25.290000000000003
heuristic,2LGij4Nkv4A,tv_series,long,unknown,0.7,0.8462,0.9981,,,169,215,21.395348837209305,15.380000000000004
heuristic,2LGij4Nkv4A,tv_series,long,unknown,0.8,0.9394,0.9992,,,191,215,11.162790697674419,6.059999999999999
heuristic,2LGij4Nkv4A,tv_series,long,unknown,0.9,0.9961,0.9999,,,212,215,1.3953488372092981,0.39000000000000146
heuristic,2LGij4Nkv4A,tv_series,long,unknown,0.95,1.0,1.0,,,215,215,0.0,0.0
model,3DC_z8BVjWA,entertainment,medium,unknown,0.5,0.5354,0.9244,0.5372,0.5372,37,103,64.07766990291262,46.46
model,3DC_z8BVjWA,entertainment,medium,unknown,0.6,0.6213,0.9475,0.6258,0.6258,46,103,55.33980582524271,37.870000000000005
model,3DC_z8BVjWA,entertainment,medium,unknown,0.7,0.7266,0.9659,0.7304,0.7304,56,103,45.63106796116505,27.339999999999996
model,3DC_z8BVjWA,entertainment,medium,unknown,0.8,0.8472,0.9867,0.8497,0.8497,75,103,27.184466019417474,15.280000000000005
model,3DC_z8BVjWA,entertainment,medium,unknown,0.9,0.9886,0.9993,0.9883,0.9883,100,103,2.9126213592232997,1.1399999999999966
model,3DC_z8BVjWA,entertainment,medium,unknown,0.95,1.0,1.0,1.0,1.0,103,103,0.0,0.0
tfidf,3DC_z8BVjWA,entertainment,medium,unknown,0.5,0.4935,0.9279,,,33,103,67.96116504854368,50.64999999999999
tfidf,3DC_z8BVjWA,entertainment,medium,unknown,0.6,0.7542,0.9725,,,59,103,42.71844660194175,24.580000000000002
tfidf,3DC_z8BVjWA,entertainment,medium,unknown,0.7,0.8901,0.9906,,,78,103,24.271844660194176,10.99
tfidf,3DC_z8BVjWA,entertainment,medium,unknown,0.8,0.9503,0.9945,,,89,103,13.592233009708742,4.969999999999997
tfidf,3DC_z8BVjWA,entertainment,medium,unknown,0.9,0.9828,0.9985,,,98,103,4.854368932038833,1.7199999999999993
tfidf,3DC_z8BVjWA,entertainment,medium,unknown,0.95,0.9961,0.9995,,,101,103,1.9417475728155331,0.39000000000000146
sbert,3DC_z8BVjWA,entertainment,medium,unknown,0.5,0.408,0.9454,,,38,103,63.106796116504846,59.20000000000001
sbert,3DC_z8BVjWA,entertainment,medium,unknown,0.6,0.6378,0.9697,,,65,103,36.89320388349514,36.22
sbert,3DC_z8BVjWA,entertainment,medium,unknown,0.7,0.7812,0.9874,,,82,103,20.38834951456311,21.88
sbert,3DC_z8BVjWA,entertainment,medium,unknown,0.8,0.9191,0.9976,,,96,103,6.796116504854366,8.089999999999996
sbert,3DC_z8BVjWA,entertainment,medium,unknown,0.9,1.0,1.0,,,103,103,0.0,0.0
sbert,3DC_z8BVjWA,entertainment,medium,unknown,0.95,1.0,1.0,,,103,103,0.0,0.0
heuristic,3DC_z8BVjWA,entertainment,medium,unknown,0.5,0.4854,0.9763,,,54,103,47.57281553398058,51.459999999999994
heuristic,3DC_z8BVjWA,entertainment,medium,unknown,0.6,0.5114,0.9798,,,57,103,44.66019417475729,48.86000000000001
heuristic,3DC_z8BVjWA,entertainment,medium,unknown,0.7,0.6782,0.9852,,,67,103,34.95145631067961,32.18
heuristic,3DC_z8BVjWA,entertainment,medium,unknown,0.8,0.9119,0.9956,,,89,103,13.592233009708742,8.809999999999995
heuristic,3DC_z8BVjWA,entertainment,medium,unknown,0.9,0.987,0.9993,,,100,103,2.9126213592232997,1.3000000000000012
heuristic,3DC_z8BVjWA,entertainment,medium,unknown,0.95,0.9912,0.9995,,,101,103,1.9417475728155331,0.880000000000003
model,3FycJhNYlVU,ted,long,unknown,0.5,0.7916,0.983,0.7934,0.7934,18,28,35.71428571428571,20.840000000000003
model,3FycJhNYlVU,ted,long,unknown,0.6,0.8767,0.9892,0.878,0.878,21,28,25.0,12.329999999999997
model,3FycJhNYlVU,ted,long,unknown,0.7,0.8983,0.993,0.8994,0.8994,22,28,21.42857142857143,10.170000000000002
model,3FycJhNYlVU,ted,long,unknown,0.8,0.9691,0.9963,0.9697,0.9697,26,28,7.14285714285714,3.090000000000004
model,3FycJhNYlVU,ted,long,unknown,0.9,0.9919,0.9981,0.9929,0.9929,27,28,3.57142857142857,0.8099999999999996
model,3FycJhNYlVU,ted,long,unknown,0.95,1.0,1.0,1.0,1.0,28,28,0.0,0.0
tfidf,3FycJhNYlVU,ted,long,unknown,0.5,0.5706,0.9445,,,10,28,64.28571428571428,42.94
